skills,interests,experience_level,resume_text,career
"aws, observability, ci/cd, terraform","automation, analytics",Intermediate,"Built projects using aws, observability, ci/cd, terraform with focus on cloud engineer outcomes and measurable impact.",Cloud Engineer
"ci/cd, observability, docker, terraform, kubernetes, aws","analytics, security",Beginner,"Built projects using ci/cd, observability, docker, terraform, kubernetes, aws with focus on cloud engineer outcomes and measurable impact.",Cloud Engineer
"linux, observability, terraform, ci/cd, kubernetes, docker, aws","systems, security",Intermediate,"Built projects using linux, observability, terraform, ci/cd, kubernetes, docker, aws with focus on cloud engineer outcomes and measurable impact.",Cloud Engineer
"ci/cd, kubernetes, linux","analytics, product",Intermediate,"Built projects using ci/cd, kubernetes, linux with focus on cloud engineer outcomes and measurable impact.",Cloud Engineer
"observability, aws, terraform","product, security",Beginner,"Built projects using observability, aws, terraform with focus on cloud engineer outcomes and measurable impact.",Cloud Engineer
"ci/cd, kubernetes, aws","analytics, ai",Intermediate,"Built projects using ci/cd, kubernetes, aws with focus on cloud engineer outcomes and measurable impact.",Cloud Engineer
"kubernetes, linux, observability, docker","systems, security",Advanced,"Built projects using kubernetes, linux, observability, docker with focus on cloud engineer outcomes and measurable impact.",Cloud Engineer
"kubernetes, aws, observability, linux, terraform","product, automation",Intermediate,"Built projects using kubernetes, aws, observability, linux, terraform with focus on cloud engineer outcomes and measurable impact.",Cloud Engineer
"terraform, kubernetes, docker, aws, ci/cd, linux","systems, cloud",Intermediate,"Built projects using terraform, kubernetes, docker, aws, ci/cd, linux with focus on cloud engineer outcomes and measurable impact.",Cloud Engineer
"observability, aws, docker, terraform","ai, product",Intermediate,"Built projects using observability, aws, docker, terraform with focus on cloud engineer outcomes and measurable impact.",Cloud Engineer
"ci/cd, kubernetes, linux, observability, docker, terraform, aws","automation, systems",Beginner,"Built projects using ci/cd, kubernetes, linux, observability, docker, terraform, aws with focus on cloud engineer outcomes and measurable impact.",Cloud Engineer
"docker, aws, observability","analytics, automation",Beginner,"Built projects using docker, aws, observability with focus on cloud engineer outcomes and measurable impact.",Cloud Engineer
"aws, ci/cd, docker, terraform","automation, cloud",Beginner,"Built projects using aws, ci/cd, docker, terraform with focus on cloud engineer outcomes and measurable impact.",Cloud Engineer
"kubernetes, docker, aws, terraform, ci/cd","automation, product",Beginner,"Built projects using kubernetes, docker, aws, terraform, ci/cd with focus on cloud engineer outcomes and measurable impact.",Cloud Engineer
"linux, kubernetes, observability, terraform, aws","security, cloud",Beginner,"Built projects using linux, kubernetes, observability, terraform, aws with focus on cloud engineer outcomes and measurable impact.",Cloud Engineer
"kubernetes, aws, ci/cd, linux, terraform","product, security",Beginner,"Built projects using kubernetes, aws, ci/cd, linux, terraform with focus on cloud engineer outcomes and measurable impact.",Cloud Engineer
"ci/cd, linux, terraform, docker, kubernetes, observability","analytics, automation",Advanced,"Built projects using ci/cd, linux, terraform, docker, kubernetes, observability with focus on cloud engineer outcomes and measurable impact.",Cloud Engineer
"docker, kubernetes, observability, linux","ai, analytics",Beginner,"Built projects using docker, kubernetes, observability, linux with focus on cloud engineer outcomes and measurable impact.",Cloud Engineer
"kubernetes, terraform, docker, ci/cd, observability","automation, systems",Advanced,"Built projects using kubernetes, terraform, docker, ci/cd, observability with focus on cloud engineer outcomes and measurable impact.",Cloud Engineer
"docker, observability, ci/cd, kubernetes, linux, terraform","analytics, ai",Intermediate,"Built projects using docker, observability, ci/cd, kubernetes, linux, terraform with focus on cloud engineer outcomes and measurable impact.",Cloud Engineer
"ci/cd, observability, docker, terraform","automation, ai",Beginner,"Built projects using ci/cd, observability, docker, terraform with focus on cloud engineer outcomes and measurable impact.",Cloud Engineer
"docker, observability, ci/cd","analytics, product",Intermediate,"Built projects using docker, observability, ci/cd with focus on cloud engineer outcomes and measurable impact.",Cloud Engineer
"ci/cd, docker, linux, terraform","systems, automation",Advanced,"Built projects using ci/cd, docker, linux, terraform with focus on cloud engineer outcomes and measurable impact.",Cloud Engineer
"aws, terraform, kubernetes, observability, ci/cd, linux, docker","systems, analytics",Beginner,"Built projects using aws, terraform, kubernetes, observability, ci/cd, linux, docker with focus on cloud engineer outcomes and measurable impact.",Cloud Engineer
"kubernetes, ci/cd, observability, linux, docker, terraform","security, cloud",Intermediate,"Built projects using kubernetes, ci/cd, observability, linux, docker, terraform with focus on cloud engineer outcomes and measurable impact.",Cloud Engineer
"linux, terraform, kubernetes, observability, ci/cd","ai, product",Intermediate,"Built projects using linux, terraform, kubernetes, observability, ci/cd with focus on cloud engineer outcomes and measurable impact.",Cloud Engineer
"terraform, kubernetes, ci/cd","security, analytics",Intermediate,"Built projects using terraform, kubernetes, ci/cd with focus on cloud engineer outcomes and measurable impact.",Cloud Engineer
"aws, observability, ci/cd","product, systems",Beginner,"Built projects using aws, observability, ci/cd with focus on cloud engineer outcomes and measurable impact.",Cloud Engineer
"ci/cd, aws, linux, terraform","product, security",Intermediate,"Built projects using ci/cd, aws, linux, terraform with focus on cloud engineer outcomes and measurable impact.",Cloud Engineer
"kubernetes, linux, observability, docker","automation, systems",Intermediate,"Built projects using kubernetes, linux, observability, docker with focus on cloud engineer outcomes and measurable impact.",Cloud Engineer
"docker, ci/cd, kubernetes, terraform, aws","systems, security",Intermediate,"Built projects using docker, ci/cd, kubernetes, terraform, aws with focus on cloud engineer outcomes and measurable impact.",Cloud Engineer
"observability, ci/cd, linux, terraform, kubernetes, docker","ai, security",Beginner,"Built projects using observability, ci/cd, linux, terraform, kubernetes, docker with focus on cloud engineer outcomes and measurable impact.",Cloud Engineer
"kubernetes, aws, terraform, observability, linux, docker, ci/cd","systems, automation",Beginner,"Built projects using kubernetes, aws, terraform, observability, linux, docker, ci/cd with focus on cloud engineer outcomes and measurable impact.",Cloud Engineer
"terraform, linux, aws, kubernetes, ci/cd","systems, ai",Intermediate,"Built projects using terraform, linux, aws, kubernetes, ci/cd with focus on cloud engineer outcomes and measurable impact.",Cloud Engineer
"linux, ci/cd, terraform, docker","systems, ai",Beginner,"Built projects using linux, ci/cd, terraform, docker with focus on cloud engineer outcomes and measurable impact.",Cloud Engineer
"aws, linux, terraform, observability, docker, ci/cd, kubernetes","ai, automation",Beginner,"Built projects using aws, linux, terraform, observability, docker, ci/cd, kubernetes with focus on cloud engineer outcomes and measurable impact.",Cloud Engineer
"aws, observability, ci/cd","cloud, security",Intermediate,"Built projects using aws, observability, ci/cd with focus on cloud engineer outcomes and measurable impact.",Cloud Engineer
"terraform, observability, linux","security, ai",Intermediate,"Built projects using terraform, observability, linux with focus on cloud engineer outcomes and measurable impact.",Cloud Engineer
"aws, linux, docker, terraform, observability, ci/cd, kubernetes","cloud, security",Beginner,"Built projects using aws, linux, docker, terraform, observability, ci/cd, kubernetes with focus on cloud engineer outcomes and measurable impact.",Cloud Engineer
"docker, terraform, kubernetes","product, systems",Beginner,"Built projects using docker, terraform, kubernetes with focus on cloud engineer outcomes and measurable impact.",Cloud Engineer
"terraform, observability, docker, aws","cloud, security",Beginner,"Built projects using terraform, observability, docker, aws with focus on cloud engineer outcomes and measurable impact.",Cloud Engineer
"docker, observability, terraform, aws","ai, security",Intermediate,"Built projects using docker, observability, terraform, aws with focus on cloud engineer outcomes and measurable impact.",Cloud Engineer
"docker, observability, linux","ai, product",Beginner,"Built projects using docker, observability, linux with focus on cloud engineer outcomes and measurable impact.",Cloud Engineer
"ci/cd, aws, docker, observability, terraform","systems, analytics",Advanced,"Built projects using ci/cd, aws, docker, observability, terraform with focus on cloud engineer outcomes and measurable impact.",Cloud Engineer
"aws, kubernetes, ci/cd","analytics, ai",Intermediate,"Built projects using aws, kubernetes, ci/cd with focus on cloud engineer outcomes and measurable impact.",Cloud Engineer
"ci/cd, observability, terraform, aws, kubernetes, linux, docker","security, automation",Intermediate,"Built projects using ci/cd, observability, terraform, aws, kubernetes, linux, docker with focus on cloud engineer outcomes and measurable impact.",Cloud Engineer
"observability, terraform, linux, kubernetes","systems, product",Intermediate,"Built projects using observability, terraform, linux, kubernetes with focus on cloud engineer outcomes and measurable impact.",Cloud Engineer
"docker, linux, aws","analytics, security",Intermediate,"Built projects using docker, linux, aws with focus on cloud engineer outcomes and measurable impact.",Cloud Engineer
"ci/cd, aws, observability, docker, kubernetes, terraform","systems, ai",Intermediate,"Built projects using ci/cd, aws, observability, docker, kubernetes, terraform with focus on cloud engineer outcomes and measurable impact.",Cloud Engineer
"linux, docker, kubernetes, terraform, ci/cd, aws, observability","analytics, automation",Intermediate,"Built projects using linux, docker, kubernetes, terraform, ci/cd, aws, observability with focus on cloud engineer outcomes and measurable impact.",Cloud Engineer
"linux, aws, docker","product, ai",Beginner,"Built projects using linux, aws, docker with focus on cloud engineer outcomes and measurable impact.",Cloud Engineer
"terraform, ci/cd, kubernetes, linux, aws, docker, observability","systems, analytics",Intermediate,"Built projects using terraform, ci/cd, kubernetes, linux, aws, docker, observability with focus on cloud engineer outcomes and measurable impact.",Cloud Engineer
"terraform, kubernetes, aws, ci/cd, observability, docker","cloud, systems",Intermediate,"Built projects using terraform, kubernetes, aws, ci/cd, observability, docker with focus on cloud engineer outcomes and measurable impact.",Cloud Engineer
"ci/cd, observability, docker, kubernetes, linux","automation, product",Advanced,"Built projects using ci/cd, observability, docker, kubernetes, linux with focus on cloud engineer outcomes and measurable impact.",Cloud Engineer
"linux, terraform, observability, kubernetes, aws, docker","automation, product",Beginner,"Built projects using linux, terraform, observability, kubernetes, aws, docker with focus on cloud engineer outcomes and measurable impact.",Cloud Engineer
"ci/cd, linux, aws, docker, kubernetes, observability, terraform","cloud, security",Beginner,"Built projects using ci/cd, linux, aws, docker, kubernetes, observability, terraform with focus on cloud engineer outcomes and measurable impact.",Cloud Engineer
"terraform, docker, observability","cloud, ai",Intermediate,"Built projects using terraform, docker, observability with focus on cloud engineer outcomes and measurable impact.",Cloud Engineer
"linux, ci/cd, kubernetes","analytics, ai",Intermediate,"Built projects using linux, ci/cd, kubernetes with focus on cloud engineer outcomes and measurable impact.",Cloud Engineer
"docker, ci/cd, linux, kubernetes, aws","security, analytics",Beginner,"Built projects using docker, ci/cd, linux, kubernetes, aws with focus on cloud engineer outcomes and measurable impact.",Cloud Engineer
"ci/cd, docker, kubernetes, aws, terraform, observability","analytics, automation",Advanced,"Built projects using ci/cd, docker, kubernetes, aws, terraform, observability with focus on cloud engineer outcomes and measurable impact.",Cloud Engineer
"observability, terraform, ci/cd, linux","security, cloud",Advanced,"Built projects using observability, terraform, ci/cd, linux with focus on cloud engineer outcomes and measurable impact.",Cloud Engineer
"ci/cd, aws, linux, docker, terraform","automation, security",Intermediate,"Built projects using ci/cd, aws, linux, docker, terraform with focus on cloud engineer outcomes and measurable impact.",Cloud Engineer
"observability, linux, terraform, docker, kubernetes","cloud, automation",Advanced,"Built projects using observability, linux, terraform, docker, kubernetes with focus on cloud engineer outcomes and measurable impact.",Cloud Engineer
"docker, linux, terraform","cloud, ai",Intermediate,"Built projects using docker, linux, terraform with focus on cloud engineer outcomes and measurable impact.",Cloud Engineer
"linux, terraform, ci/cd, observability, kubernetes","systems, automation",Beginner,"Built projects using linux, terraform, ci/cd, observability, kubernetes with focus on cloud engineer outcomes and measurable impact.",Cloud Engineer
"ci/cd, aws, docker","cloud, automation",Intermediate,"Built projects using ci/cd, aws, docker with focus on cloud engineer outcomes and measurable impact.",Cloud Engineer
"aws, docker, terraform","cloud, analytics",Intermediate,"Built projects using aws, docker, terraform with focus on cloud engineer outcomes and measurable impact.",Cloud Engineer
"observability, aws, linux, docker, kubernetes, terraform","analytics, security",Advanced,"Built projects using observability, aws, linux, docker, kubernetes, terraform with focus on cloud engineer outcomes and measurable impact.",Cloud Engineer
"ci/cd, terraform, observability, linux, kubernetes, docker","analytics, security",Intermediate,"Built projects using ci/cd, terraform, observability, linux, kubernetes, docker with focus on cloud engineer outcomes and measurable impact.",Cloud Engineer
"observability, docker, aws, linux, ci/cd","ai, automation",Advanced,"Built projects using observability, docker, aws, linux, ci/cd with focus on cloud engineer outcomes and measurable impact.",Cloud Engineer
"kubernetes, docker, linux","cloud, systems",Intermediate,"Built projects using kubernetes, docker, linux with focus on cloud engineer outcomes and measurable impact.",Cloud Engineer
"ci/cd, aws, docker, linux, kubernetes, observability, terraform","security, systems",Intermediate,"Built projects using ci/cd, aws, docker, linux, kubernetes, observability, terraform with focus on cloud engineer outcomes and measurable impact.",Cloud Engineer
"observability, linux, terraform, docker, aws, ci/cd","automation, analytics",Beginner,"Built projects using observability, linux, terraform, docker, aws, ci/cd with focus on cloud engineer outcomes and measurable impact.",Cloud Engineer
"observability, ci/cd, linux, docker, aws","product, automation",Advanced,"Built projects using observability, ci/cd, linux, docker, aws with focus on cloud engineer outcomes and measurable impact.",Cloud Engineer
"linux, aws, ci/cd, docker, observability","ai, systems",Beginner,"Built projects using linux, aws, ci/cd, docker, observability with focus on cloud engineer outcomes and measurable impact.",Cloud Engineer
"observability, aws, ci/cd, docker, kubernetes, linux, terraform","ai, cloud",Intermediate,"Built projects using observability, aws, ci/cd, docker, kubernetes, linux, terraform with focus on cloud engineer outcomes and measurable impact.",Cloud Engineer
"observability, ci/cd, docker, linux, kubernetes","cloud, product",Intermediate,"Built projects using observability, ci/cd, docker, linux, kubernetes with focus on cloud engineer outcomes and measurable impact.",Cloud Engineer
"terraform, kubernetes, aws, ci/cd, linux","analytics, automation",Intermediate,"Built projects using terraform, kubernetes, aws, ci/cd, linux with focus on cloud engineer outcomes and measurable impact.",Cloud Engineer
"linux, observability, docker, kubernetes","ai, product",Beginner,"Built projects using linux, observability, docker, kubernetes with focus on cloud engineer outcomes and measurable impact.",Cloud Engineer
"linux, ci/cd, docker, terraform","ai, security",Advanced,"Built projects using linux, ci/cd, docker, terraform with focus on cloud engineer outcomes and measurable impact.",Cloud Engineer
"ci/cd, docker, linux","security, ai",Advanced,"Built projects using ci/cd, docker, linux with focus on cloud engineer outcomes and measurable impact.",Cloud Engineer
"kubernetes, ci/cd, aws, terraform","cloud, product",Intermediate,"Built projects using kubernetes, ci/cd, aws, terraform with focus on cloud engineer outcomes and measurable impact.",Cloud Engineer
"linux, observability, aws, ci/cd, docker, terraform","analytics, automation",Beginner,"Built projects using linux, observability, aws, ci/cd, docker, terraform with focus on cloud engineer outcomes and measurable impact.",Cloud Engineer
"linux, ci/cd, kubernetes, docker, observability","security, product",Intermediate,"Built projects using linux, ci/cd, kubernetes, docker, observability with focus on cloud engineer outcomes and measurable impact.",Cloud Engineer
"docker, terraform, ci/cd, kubernetes, aws, observability, linux","security, analytics",Advanced,"Built projects using docker, terraform, ci/cd, kubernetes, aws, observability, linux with focus on cloud engineer outcomes and measurable impact.",Cloud Engineer
"ci/cd, kubernetes, observability, docker","automation, systems",Intermediate,"Built projects using ci/cd, kubernetes, observability, docker with focus on cloud engineer outcomes and measurable impact.",Cloud Engineer
"ci/cd, linux, docker, kubernetes, observability, aws","automation, analytics",Beginner,"Built projects using ci/cd, linux, docker, kubernetes, observability, aws with focus on cloud engineer outcomes and measurable impact.",Cloud Engineer
"ci/cd, terraform, linux, observability, aws","ai, automation",Beginner,"Built projects using ci/cd, terraform, linux, observability, aws with focus on cloud engineer outcomes and measurable impact.",Cloud Engineer
"ci/cd, aws, observability","automation, product",Advanced,"Built projects using ci/cd, aws, observability with focus on cloud engineer outcomes and measurable impact.",Cloud Engineer
"observability, terraform, aws, ci/cd","automation, analytics",Beginner,"Built projects using observability, terraform, aws, ci/cd with focus on cloud engineer outcomes and measurable impact.",Cloud Engineer
"observability, aws, kubernetes, terraform, linux, docker","analytics, systems",Advanced,"Built projects using observability, aws, kubernetes, terraform, linux, docker with focus on cloud engineer outcomes and measurable impact.",Cloud Engineer
"docker, linux, terraform","automation, product",Advanced,"Built projects using docker, linux, terraform with focus on cloud engineer outcomes and measurable impact.",Cloud Engineer
"aws, ci/cd, terraform, observability, docker, kubernetes, linux","analytics, systems",Beginner,"Built projects using aws, ci/cd, terraform, observability, docker, kubernetes, linux with focus on cloud engineer outcomes and measurable impact.",Cloud Engineer
"aws, terraform, ci/cd, docker","analytics, automation",Beginner,"Built projects using aws, terraform, ci/cd, docker with focus on cloud engineer outcomes and measurable impact.",Cloud Engineer
"ci/cd, linux, kubernetes, observability","systems, product",Beginner,"Built projects using ci/cd, linux, kubernetes, observability with focus on cloud engineer outcomes and measurable impact.",Cloud Engineer
"ci/cd, docker, linux, terraform, kubernetes, aws","cloud, analytics",Intermediate,"Built projects using ci/cd, docker, linux, terraform, kubernetes, aws with focus on cloud engineer outcomes and measurable impact.",Cloud Engineer
"ci/cd, kubernetes, docker, linux, aws","systems, ai",Intermediate,"Built projects using ci/cd, kubernetes, docker, linux, aws with focus on cloud engineer outcomes and measurable impact.",Cloud Engineer
"kubernetes, docker, ci/cd, observability","product, analytics",Beginner,"Built projects using kubernetes, docker, ci/cd, observability with focus on cloud engineer outcomes and measurable impact.",Cloud Engineer
"docker, linux, kubernetes, aws, terraform, ci/cd, observability","ai, analytics",Advanced,"Built projects using docker, linux, kubernetes, aws, terraform, ci/cd, observability with focus on cloud engineer outcomes and measurable impact.",Cloud Engineer
"terraform, linux, kubernetes, docker","systems, automation",Beginner,"Built projects using terraform, linux, kubernetes, docker with focus on cloud engineer outcomes and measurable impact.",Cloud Engineer
"terraform, ci/cd, aws, kubernetes, docker","ai, systems",Intermediate,"Built projects using terraform, ci/cd, aws, kubernetes, docker with focus on cloud engineer outcomes and measurable impact.",Cloud Engineer
"linux, ci/cd, observability, aws, kubernetes","systems, analytics",Intermediate,"Built projects using linux, ci/cd, observability, aws, kubernetes with focus on cloud engineer outcomes and measurable impact.",Cloud Engineer
"ci/cd, docker, linux, aws, kubernetes","security, ai",Advanced,"Built projects using ci/cd, docker, linux, aws, kubernetes with focus on cloud engineer outcomes and measurable impact.",Cloud Engineer
"observability, terraform, aws, kubernetes, docker, linux","ai, systems",Beginner,"Built projects using observability, terraform, aws, kubernetes, docker, linux with focus on cloud engineer outcomes and measurable impact.",Cloud Engineer
"observability, kubernetes, docker","cloud, security",Intermediate,"Built projects using observability, kubernetes, docker with focus on cloud engineer outcomes and measurable impact.",Cloud Engineer
"aws, observability, terraform, linux, kubernetes","systems, ai",Beginner,"Built projects using aws, observability, terraform, linux, kubernetes with focus on cloud engineer outcomes and measurable impact.",Cloud Engineer
"docker, observability, aws, kubernetes, terraform, ci/cd","security, systems",Intermediate,"Built projects using docker, observability, aws, kubernetes, terraform, ci/cd with focus on cloud engineer outcomes and measurable impact.",Cloud Engineer
"ci/cd, observability, kubernetes, aws, linux, docker","systems, analytics",Intermediate,"Built projects using ci/cd, observability, kubernetes, aws, linux, docker with focus on cloud engineer outcomes and measurable impact.",Cloud Engineer
"linux, docker, observability, ci/cd, kubernetes","cloud, systems",Intermediate,"Built projects using linux, docker, observability, ci/cd, kubernetes with focus on cloud engineer outcomes and measurable impact.",Cloud Engineer
"ci/cd, aws, linux, terraform, docker","cloud, analytics",Intermediate,"Built projects using ci/cd, aws, linux, terraform, docker with focus on cloud engineer outcomes and measurable impact.",Cloud Engineer
"terraform, ci/cd, kubernetes, aws, observability, docker, linux","cloud, product",Beginner,"Built projects using terraform, ci/cd, kubernetes, aws, observability, docker, linux with focus on cloud engineer outcomes and measurable impact.",Cloud Engineer
"kubernetes, terraform, observability, docker, linux","analytics, security",Beginner,"Built projects using kubernetes, terraform, observability, docker, linux with focus on cloud engineer outcomes and measurable impact.",Cloud Engineer
"terraform, observability, linux","security, ai",Advanced,"Built projects using terraform, observability, linux with focus on cloud engineer outcomes and measurable impact.",Cloud Engineer
"terraform, linux, aws, ci/cd","product, cloud",Beginner,"Built projects using terraform, linux, aws, ci/cd with focus on cloud engineer outcomes and measurable impact.",Cloud Engineer
"ci/cd, docker, linux","automation, ai",Intermediate,"Built projects using ci/cd, docker, linux with focus on cloud engineer outcomes and measurable impact.",Cloud Engineer
"linux, observability, docker, kubernetes, ci/cd, aws","product, automation",Intermediate,"Built projects using linux, observability, docker, kubernetes, ci/cd, aws with focus on cloud engineer outcomes and measurable impact.",Cloud Engineer
"docker, linux, aws","security, analytics",Beginner,"Built projects using docker, linux, aws with focus on cloud engineer outcomes and measurable impact.",Cloud Engineer
"aws, terraform, observability, linux, docker, kubernetes, ci/cd","ai, analytics",Advanced,"Built projects using aws, terraform, observability, linux, docker, kubernetes, ci/cd with focus on cloud engineer outcomes and measurable impact.",Cloud Engineer
"ci/cd, kubernetes, docker, observability, aws","product, automation",Advanced,"Built projects using ci/cd, kubernetes, docker, observability, aws with focus on cloud engineer outcomes and measurable impact.",Cloud Engineer
"ci/cd, aws, docker, terraform, observability","cloud, systems",Advanced,"Built projects using ci/cd, aws, docker, terraform, observability with focus on cloud engineer outcomes and measurable impact.",Cloud Engineer
"linux, terraform, ci/cd, kubernetes, aws","security, product",Beginner,"Built projects using linux, terraform, ci/cd, kubernetes, aws with focus on cloud engineer outcomes and measurable impact.",Cloud Engineer
"kubernetes, linux, ci/cd, docker, observability, aws, terraform","automation, cloud",Intermediate,"Built projects using kubernetes, linux, ci/cd, docker, observability, aws, terraform with focus on cloud engineer outcomes and measurable impact.",Cloud Engineer
"observability, aws, terraform","product, cloud",Intermediate,"Built projects using observability, aws, terraform with focus on cloud engineer outcomes and measurable impact.",Cloud Engineer
"docker, linux, aws","security, ai",Beginner,"Built projects using docker, linux, aws with focus on cloud engineer outcomes and measurable impact.",Cloud Engineer
"terraform, aws, linux, ci/cd, kubernetes, observability, docker","automation, security",Intermediate,"Built projects using terraform, aws, linux, ci/cd, kubernetes, observability, docker with focus on cloud engineer outcomes and measurable impact.",Cloud Engineer
"observability, docker, aws, kubernetes, ci/cd","analytics, ai",Beginner,"Built projects using observability, docker, aws, kubernetes, ci/cd with focus on cloud engineer outcomes and measurable impact.",Cloud Engineer
"ci/cd, observability, aws","analytics, security",Beginner,"Built projects using ci/cd, observability, aws with focus on cloud engineer outcomes and measurable impact.",Cloud Engineer
"docker, kubernetes, ci/cd, aws","systems, ai",Intermediate,"Built projects using docker, kubernetes, ci/cd, aws with focus on cloud engineer outcomes and measurable impact.",Cloud Engineer
"kubernetes, ci/cd, observability, linux, docker, aws","product, ai",Intermediate,"Built projects using kubernetes, ci/cd, observability, linux, docker, aws with focus on cloud engineer outcomes and measurable impact.",Cloud Engineer
"observability, docker, kubernetes, ci/cd","security, automation",Intermediate,"Built projects using observability, docker, kubernetes, ci/cd with focus on cloud engineer outcomes and measurable impact.",Cloud Engineer
"docker, terraform, linux, ci/cd, aws, kubernetes","automation, product",Intermediate,"Built projects using docker, terraform, linux, ci/cd, aws, kubernetes with focus on cloud engineer outcomes and measurable impact.",Cloud Engineer
"kubernetes, ci/cd, linux","systems, cloud",Intermediate,"Built projects using kubernetes, ci/cd, linux with focus on cloud engineer outcomes and measurable impact.",Cloud Engineer
"terraform, ci/cd, linux, aws, docker, kubernetes","ai, analytics",Beginner,"Built projects using terraform, ci/cd, linux, aws, docker, kubernetes with focus on cloud engineer outcomes and measurable impact.",Cloud Engineer
"kubernetes, aws, ci/cd, linux","cloud, analytics",Advanced,"Built projects using kubernetes, aws, ci/cd, linux with focus on cloud engineer outcomes and measurable impact.",Cloud Engineer
"kubernetes, terraform, aws, observability, linux, docker, ci/cd","product, ai",Advanced,"Built projects using kubernetes, terraform, aws, observability, linux, docker, ci/cd with focus on cloud engineer outcomes and measurable impact.",Cloud Engineer
"kubernetes, docker, ci/cd, observability, aws, linux, terraform","systems, ai",Intermediate,"Built projects using kubernetes, docker, ci/cd, observability, aws, linux, terraform with focus on cloud engineer outcomes and measurable impact.",Cloud Engineer
"observability, kubernetes, docker, ci/cd, aws, linux, terraform","cloud, security",Intermediate,"Built projects using observability, kubernetes, docker, ci/cd, aws, linux, terraform with focus on cloud engineer outcomes and measurable impact.",Cloud Engineer
"docker, kubernetes, observability, ci/cd","security, cloud",Intermediate,"Built projects using docker, kubernetes, observability, ci/cd with focus on cloud engineer outcomes and measurable impact.",Cloud Engineer
"observability, ci/cd, docker, terraform, kubernetes, linux, aws","security, systems",Intermediate,"Built projects using observability, ci/cd, docker, terraform, kubernetes, linux, aws with focus on cloud engineer outcomes and measurable impact.",Cloud Engineer
"kubernetes, observability, aws","cloud, systems",Intermediate,"Built projects using kubernetes, observability, aws with focus on cloud engineer outcomes and measurable impact.",Cloud Engineer
"docker, observability, linux","analytics, product",Intermediate,"Built projects using docker, observability, linux with focus on cloud engineer outcomes and measurable impact.",Cloud Engineer
"docker, linux, aws, observability, ci/cd, terraform","ai, analytics",Intermediate,"Built projects using docker, linux, aws, observability, ci/cd, terraform with focus on cloud engineer outcomes and measurable impact.",Cloud Engineer
"observability, linux, kubernetes, ci/cd, docker","cloud, systems",Intermediate,"Built projects using observability, linux, kubernetes, ci/cd, docker with focus on cloud engineer outcomes and measurable impact.",Cloud Engineer
"terraform, ci/cd, linux, kubernetes, aws, docker, observability","cloud, automation",Beginner,"Built projects using terraform, ci/cd, linux, kubernetes, aws, docker, observability with focus on cloud engineer outcomes and measurable impact.",Cloud Engineer
"aws, docker, ci/cd, kubernetes, observability","analytics, cloud",Advanced,"Built projects using aws, docker, ci/cd, kubernetes, observability with focus on cloud engineer outcomes and measurable impact.",Cloud Engineer
"terraform, kubernetes, docker, linux","cloud, ai",Beginner,"Built projects using terraform, kubernetes, docker, linux with focus on cloud engineer outcomes and measurable impact.",Cloud Engineer
"observability, linux, ci/cd, aws, kubernetes, docker","security, ai",Intermediate,"Built projects using observability, linux, ci/cd, aws, kubernetes, docker with focus on cloud engineer outcomes and measurable impact.",Cloud Engineer
"observability, docker, aws, terraform, kubernetes","automation, systems",Beginner,"Built projects using observability, docker, aws, terraform, kubernetes with focus on cloud engineer outcomes and measurable impact.",Cloud Engineer
"ci/cd, docker, terraform, aws, linux, observability, kubernetes","automation, product",Beginner,"Built projects using ci/cd, docker, terraform, aws, linux, observability, kubernetes with focus on cloud engineer outcomes and measurable impact.",Cloud Engineer
"ci/cd, linux, docker, observability, terraform, kubernetes","ai, product",Intermediate,"Built projects using ci/cd, linux, docker, observability, terraform, kubernetes with focus on cloud engineer outcomes and measurable impact.",Cloud Engineer
"kubernetes, terraform, ci/cd, aws, linux, observability, docker","product, security",Intermediate,"Built projects using kubernetes, terraform, ci/cd, aws, linux, observability, docker with focus on cloud engineer outcomes and measurable impact.",Cloud Engineer
"ci/cd, observability, terraform, linux, docker","security, ai",Intermediate,"Built projects using ci/cd, observability, terraform, linux, docker with focus on cloud engineer outcomes and measurable impact.",Cloud Engineer
"linux, aws, observability, kubernetes","product, systems",Intermediate,"Built projects using linux, aws, observability, kubernetes with focus on cloud engineer outcomes and measurable impact.",Cloud Engineer
"linux, observability, terraform, kubernetes, docker","security, automation",Beginner,"Built projects using linux, observability, terraform, kubernetes, docker with focus on cloud engineer outcomes and measurable impact.",Cloud Engineer
"linux, terraform, observability, docker, kubernetes","automation, ai",Intermediate,"Built projects using linux, terraform, observability, docker, kubernetes with focus on cloud engineer outcomes and measurable impact.",Cloud Engineer
"aws, observability, ci/cd, docker, linux","product, automation",Intermediate,"Built projects using aws, observability, ci/cd, docker, linux with focus on cloud engineer outcomes and measurable impact.",Cloud Engineer
"ci/cd, terraform, docker","analytics, product",Beginner,"Built projects using ci/cd, terraform, docker with focus on cloud engineer outcomes and measurable impact.",Cloud Engineer
"kubernetes, terraform, aws","ai, product",Intermediate,"Built projects using kubernetes, terraform, aws with focus on cloud engineer outcomes and measurable impact.",Cloud Engineer
"terraform, kubernetes, ci/cd","systems, automation",Beginner,"Built projects using terraform, kubernetes, ci/cd with focus on cloud engineer outcomes and measurable impact.",Cloud Engineer
"linux, kubernetes, terraform","cloud, systems",Advanced,"Built projects using linux, kubernetes, terraform with focus on cloud engineer outcomes and measurable impact.",Cloud Engineer
